id,key,value,type
11689324,name_base,Wing,tiger
11689324,name_type,Way,tiger
11689516,name,Willow Wood Drive,unspecified
11689516,highway,residential,unspecified
11689516,cfcc,A41,tiger
11689516,reviewed,no,tiger
11689516,zip_left,15044,tiger
11689516,name_base,Willow Wood,tiger
11689516,name_type,Dr,tiger
11689516,zip_right,15044,tiger
11689684,name,Cain Street,unspecified
11689684,highway,service,unspecified
11689684,cfcc,A41,tiger
11689684,reviewed,no,tiger
11689684,name_base,Cain,tiger
11689684,name_type,St,tiger
11689957,name,Harrow Hill Court,unspecified
11689957,highway,residential,unspecified
11689957,cfcc,A41,tiger
11689957,reviewed,no,tiger
11689957,name_base,Harrow Hill,tiger
11689957,name_type,Ct,tiger
11690170,name,Dewey Street,unspecified
11690170,highway,residential,unspecified
11690170,cfcc,A41,tiger
11690170,zip_left,15034,tiger
11690170,name_base,Dewey,tiger
11690170,name_type,St,tiger
11690170,zip_right,15034,tiger
11690353,name,Ivywood Drive,unspecified
11690353,highway,residential,unspecified
11690353,cfcc,A41,tiger
11690353,reviewed,no,tiger
11690353,zip_left,15101,tiger
11690353,name_base,Ivywood,tiger
11690353,name_type,Dr,tiger
11690353,zip_right,15101,tiger
11690487,name,Forest Glen Drive,unspecified
11690487,highway,residential,unspecified
11690487,cfcc,A41,tiger
11690487,reviewed,no,tiger
11690487,zip_left,15221,tiger
11690487,name_base,Forest Glen,tiger
11690487,name_type,Dr,tiger
11690487,zip_right,15221,tiger
11690739,name,Poplar Drive,unspecified
11690739,highway,residential,unspecified
11690739,cfcc,A41,tiger
11690739,reviewed,no,tiger
11690739,zip_left,15238,tiger
11690739,name_base,Poplar,tiger
11690739,name_type,Dr,tiger
11690739,zip_right,15238,tiger
11690901,name,Mohn Way,unspecified
11690901,highway,service,unspecified
11690901,service,alley,unspecified
11690901,cfcc,A41,tiger
11690901,reviewed,no,tiger
11690901,zip_left,15214,tiger
11690901,name_base,Mohn,tiger
11690901,name_type,Way,tiger
11690901,zip_right,15214,tiger
11691100,name,Quail Hill Road,unspecified
11691100,highway,residential,unspecified
11691100,cfcc,A41,tiger
11691100,reviewed,no,tiger
11691100,zip_left,15238,tiger
11691100,name_base,Quail Hill,tiger
11691100,name_type,Rd,tiger
11691100,zip_right,15238,tiger
11691277,name,Frank Way,unspecified
11691277,highway,residential,unspecified
11691277,cfcc,A41,tiger
11691277,tlid,51666702:51666696,tiger
11691277,source,tiger_import_dch_v0.7_20071109,tiger
11691277,reviewed,no,tiger
11691277,zip_left,15221,tiger
11691277,name_base,Frank,tiger
11691277,name_type,Way,tiger
11691277,separated,no,tiger
11691277,zip_right,15221,tiger
11691401,name,Wallace Drive,unspecified
11691401,oneway,no,unspecified
11691401,highway,residential,unspecified
11691401,cfcc,A41,tiger
11691401,reviewed,no,tiger
11691401,zip_left,15146,tiger
11691401,name_base,Wallace,tiger
11691401,name_type,Dr,tiger
11691401,zip_right,15146,tiger
11691549,name,Pine Way Court,unspecified
11691549,highway,residential,unspecified
11691549,cfcc,A41,tiger
11691549,zip_left,15681,tiger
11691549,name_base,Pine Way,tiger
11691549,name_type,Ct,tiger
11691549,zip_right,15681,tiger
11691827,bicycle,designated,unspecified
11691827,bridge,yes,unspecified
11691827,highway,secondary,unspecified
11691827,lanes,3,unspecified
11691827,backward,1,lanes
11691827,forward,2,lanes
11691827,layer,1,unspecified
11691827,name,Neville Island Bridge,unspecified
11691827,ref,Yellow Belt,unspecified
11691827,cfcc,A41,tiger
11691827,name_base,Neville Island,tiger
11691827,name_type,Brg,tiger
11691981,name,Birchwood Lane,unspecified
11691981,highway,residential,unspecified
11691981,cfcc,A41,tiger
11691981,reviewed,no,tiger
11691981,zip_left,15101,tiger
11691981,name_base,Birchwood,tiger
11691981,name_type,Ln,tiger
11691981,zip_right,15101,tiger
11692255,name,Valley View Road,unspecified
11692255,highway,residential,unspecified
11692255,cfcc,A41,tiger
11692255,reviewed,no,tiger
11692255,zip_left,15126,tiger
11692255,name_base,Valley View,tiger
11692255,name_type,Rd,tiger
11692255,zip_right,15126,tiger
11692399,name,Adams Drive,unspecified
11692399,highway,residential,unspecified
11692399,cfcc,A41,tiger
11692399,reviewed,no,tiger
11692399,zip_left,15241,tiger
11692399,name_base,Adams,tiger
11692399,name_type,Dr,tiger
11692399,zip_right,15241,tiger
11692643,name,Oxbridge Drive,unspecified
11692643,highway,residential,unspecified
11692643,cfcc,A41,tiger
11692643,reviewed,no,tiger
11692643,name_base,Oxbridge,tiger
11692643,name_type,Dr,tiger
11692891,name,Rockledge Street,unspecified
11692891,highway,residential,unspecified
11692891,cfcc,A41,tiger
11692891,reviewed,no,tiger
11692891,zip_left,15212,tiger
11692891,name_base,Rockledge,tiger
11692891,name_type,St,tiger
11692891,zip_right,15212,tiger
11693088,highway,service,unspecified
11693088,name,Antler Way,unspecified
11693088,oneway,yes,unspecified
11693269,name,Rachel Drive,unspecified
11693269,highway,residential,unspecified
11693269,cfcc,A41,tiger
11693269,reviewed,no,tiger
11693269,zip_left,15129,tiger
11693269,name_base,Rachel,tiger
11693269,name_type,Dr,tiger
11693269,zip_right,15129,tiger
11693502,name,Murrayhill Avenue,unspecified
11693502,highway,residential,unspecified
11693502,cfcc,A41,tiger
11693502,reviewed,no,tiger
11693502,zip_left,15024,tiger
11693502,name_base,Murrayhill,tiger
11693502,name_type,Ave,tiger
11693502,zip_right,15024,tiger
11693664,name,New Haven Lane,unspecified
11693664,lanes,2,unspecified
11693664,highway,residential,unspecified
11693664,maxspeed,15 mph,unspecified
11693664,cfcc,A41,tiger
11693664,zip_left,15225,tiger
11693664,name_base,New Haven,tiger
11693664,name_type,Ln,tiger
11693664,zip_right,15225,tiger
11693787,name,Clairhaven Street,unspecified
11693787,highway,residential,unspecified
11693787,cfcc,A41,tiger
11693787,reviewed,no,tiger
11693787,name_base,Clairhaven,tiger
11693787,name_type,St,tiger
11693938,name,Bel Aire Drive,unspecified
11693938,highway,residential,unspecified
11693938,cfcc,A41,tiger
11693938,reviewed,no,tiger
11693938,zip_left,15146,tiger
11693938,name_base,Bel Aire,tiger
11693938,name_type,Dr,tiger
11693938,zip_right,15146,tiger
11694116,name,Niblick Drive,unspecified
11694116,highway,residential,unspecified
11694116,cfcc,A41,tiger
11694116,zip_left,15236,tiger
11694116,name_base,Niblick,tiger
11694116,name_type,Dr,tiger
11694116,zip_right,15236,tiger
11694275,name,Juanita Drive,unspecified
11694275,highway,residential,unspecified
11694275,cfcc,A41,tiger
11694275,reviewed,no,tiger
11694275,zip_left,15108,tiger
11694275,name_base,Juanita,tiger
11694275,name_type,Dr,tiger
11694275,zip_right,15108,tiger
11694447,name,Lewis Street,unspecified
11694447,highway,residential,unspecified
11694447,cfcc,A41,tiger
11694447,reviewed,no,tiger
11694447,name_base,Lewis,tiger
11694447,name_type,St,tiger
11694705,name,Deer Creek Road,unspecified
11694705,name_1,Middle Road,unspecified
11694705,highway,tertiary,unspecified
11694705,cfcc,A41,tiger
11694705,reviewed,no,tiger
11694705,zip_left,15044,tiger
11694705,name_base,Deer Creek,tiger
11694705,name_type,Rd,tiger
11694705,zip_right,15044,tiger
11694705,name_base_1,Middle,tiger
11694705,name_type_1,Rd,tiger
11694964,name,Lehr Street,unspecified
11694964,highway,service,unspecified
11694964,cfcc,A41,tiger
11694964,reviewed,no,tiger
11694964,name_base,Lehr,tiger
11694964,name_type,St,tiger
11695104,name,West 10th Avenue,unspecified
11695104,highway,residential,unspecified
11695104,cfcc,A41,tiger
11695104,reviewed,no,tiger
11695104,zip_left,15120,tiger
11695104,name_base,10th,tiger
11695104,name_type,Ave,tiger
11695104,zip_right,15120,tiger
11695104,name_direction_prefix,W,tiger
11695281,name,Colebrook Avenue,unspecified
11695281,highway,residential,unspecified
11695281,cfcc,A41,tiger
11695281,reviewed,no,tiger
11695281,zip_left,15216,tiger
11695281,name_base,Colebrook,tiger
11695281,name_type,Ave,tiger
11695281,zip_right,15216,tiger
11695480,name,East Carter Drive,unspecified
11695480,highway,residential,unspecified
11695480,cfcc,A41,tiger
11695480,reviewed,no,tiger
11695480,zip_left,15137,tiger
11695480,name_base,Carter,tiger
11695480,name_type,Dr,tiger
11695480,zip_right,15137,tiger
11695480,name_direction_prefix,E,tiger
11695620,name,Alplaus Street,unspecified
11695620,highway,residential,unspecified
11695620,cfcc,A41,tiger
11695620,reviewed,no,tiger
11695620,zip_left,15210,tiger
11695620,name_base,Alplaus,tiger
11695620,name_type,St,tiger
11695620,zip_right,15210,tiger
11695830,name,West Shady Drive,unspecified
11695830,highway,residential,unspecified
11695830,cfcc,A41,tiger
11695830,zip_left,15228,tiger
11695830,name_base,Shady,tiger
11695830,name_type,Dr,tiger
11695830,zip_right,15228,tiger
11695830,name_direction_prefix,W,tiger
11696115,name,Blackmore Street,unspecified
11696115,highway,residential,unspecified
11696115,cfcc,A41,tiger
11696115,tlid,51681222:51652525,tiger
11696115,source,tiger_import_dch_v0.7_20071109,tiger
11696115,reviewed,no,tiger
11696115,zip_left,15217,tiger
11696115,name_base,Blackmore,tiger
11696115,name_type,St,tiger
11696115,separated,no,tiger
11696115,zip_right,15217,tiger
11696336,name,Barking Road,unspecified
11696336,highway,residential,unspecified
11696336,cfcc,A41,tiger
11696336,reviewed,no,tiger
11696336,zip_left,15068,tiger
11696336,name_base,Barking,tiger
11696336,name_type,Rd,tiger
11696336,zip_right,15068,tiger
11696496,name,Linden Street,unspecified
11696496,highway,residential,unspecified
11696496,cfcc,A41,tiger
11696496,reviewed,no,tiger
11696496,zip_left,15024,tiger
11696496,name_base,Linden,tiger
11696496,name_type,St,tiger
11696496,zip_right,15024,tiger
11696629,name,Wall Bridge,unspecified
11696629,layer,1,unspecified
11696629,bridge,yes,unspecified
11696629,name_1,Bridge Street,unspecified
11696629,oneway,no,unspecified
11696629,highway,tertiary,unspecified
11696629,cfcc,A41,tiger
11696629,reviewed,no,tiger
11696629,name_base,Wall,tiger
11696629,name_type,Brg,tiger
11696629,name_base_1,Bridge,tiger
11696629,name_type_1,St,tiger
11696742,name,Elmwood Drive,unspecified
11696742,lanes,2,unspecified
11696742,highway,residential,unspecified
11696742,cfcc,A41,tiger
11696742,zip_left,15116,tiger
11696742,name_base,Elmwood,tiger
11696742,name_type,Dr,tiger
11696742,zip_right,15116,tiger
11696949,name,Ferncliff Avenue,unspecified
11696949,highway,residential,unspecified
11696949,cfcc,A41,tiger
11696949,reviewed,no,tiger
11696949,zip_left,15226,tiger
11696949,name_base,Ferncliff,tiger
11696949,name_type,Ave,tiger
11697148,name,Gould Drive,unspecified
11697148,highway,residential,unspecified
11697148,cfcc,A41,tiger
